Ls_num,Name,Portfolio,Rank,Year,appointment_begin,appointment_end,Constituency_No,State_name,Poll_No,gender,party,ID,start_source,end_source
17,Shri Kiren Rijiju,Minority Affairs,MoS,2019,30-05-2019,07-07-2021,1,Arunachal_Pradesh,0,M,BJP,17_Arunachal_Pradesh_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Mukhtar Abbas Naqvi,Minority Affairs,CM,2019,30-05-2019,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Bhagwanth Khuba,New and Renewable Energy,MoS,2019,07-07-2021,Current,7,Karnataka,0,M,BJP,17_Karnataka_7_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Raj Kumar Singh,New and Renewable Energy,MoS(IC),2019,30-05-2019,07-07-2021,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Raj Kumar Singh,New and Renewable Energy,CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Giriraj Singh,Panchayati Raj,CM,2019,07-07-2021,Current,24,Bihar,0,M,BJP,17_Bihar_24_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Kapil Moreshwar Patil,Panchayati Raj,MoS,2019,07-07-2021,Current,23,Maharashtra,0,M,BJP,17_Maharashtra_23_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Narendra Singh Tomar,Panchayati Raj,CM,2019,30-05-2019,07-07-2021,1,Madhya_Pradesh,0,M,BJP,17_Madhya_Pradesh_1_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Arjun Ram Meghwal,Parliamentary Affairs,MoS,2019,30-05-2019,Current,2,Rajasthan,0,M,BJP,17_Rajasthan_2_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Pralhad Joshi,Parliamentary Affairs,CM,2019,30-05-2019,Current,11,Karnataka,0,M,BJP,17_Karnataka_11_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri V. Muraleedharan,Parliamentary Affairs,MoS,2019,30-05-2019,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Dr. Jitendra Singh,"Personnel, Public Grievances and Pensions",MoS,2019,30-05-2019,Current,5,Jammu_&_Kashmir,0,M,BJP,17_Jammu_&_Kashmir_5_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Narendra Modi,"Personnel, Public Grievances and Pensions",CM,2019,30-05-2019,Current,77,Uttar_Pradesh,0,M,BJP,17_Uttar_Pradesh_77_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Dharmendra Pradhan,Petroleum and Natural Gas,CM,2019,30-05-2019,07-07-2021,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_1859.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Hardeep Singh Puri,Petroleum and Natural Gas,CM,2019,07-07-2021,Current,,,,,,,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
17,Shri Rameswar Teli,Petroleum and Natural Gas,MoS,2019,07-07-2021,Current,13,Assam,0,M,BJP,17_Assam_13_0_1,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf,https://cabsec.gov.in/writereaddata/councilofministers/english/1_Upload_3076.pdf
